"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"30625","16699","Não","S - Venda","15,75","15,75","0,00","DINHEIRO","3,00","Descascador e Boleador Keita Db02","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30625","29809","Não","S - Venda","5,99","5,99","0,00","DINHEIRO","1,00","Fatiador Ovos Inox Asa21016","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30625","23654","Não","S - Venda","6,75","6,75","0,00","DINHEIRO","1,00","Cortador De Ovo Cozido","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30625","30067","Não","S - Venda","29,90","29,90","0,00","DINHEIRO","1,00","Ralador 4 Faces Inox IXB10005","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"30626","9791336","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Cad 1/8 48Fls Espiralado","Cadernos","Escolar/escritorio","(blank)"
"30626","25277","Não","S - Venda","10,75","10,75","0,00","DINHEIRO","1,00","Caneca N8 Inox","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30626","9789490","Não","S - Venda","41,00","41,00","0,00","DINHEIRO","1,00","Sombrinha Colorida Sort Uc0004","Bazar","Bazar","(blank)"
"30626","9794526","Não","S - Venda","4,75","4,75","0,00","DINHEIRO","1,00","Marcador Permanente Bic Pt  904386","Acessorios Escolares","Escolar/escritorio","(blank)"
"30626","5007","Não","S - Venda","4,50","4,50","0,00","DINHEIRO","1,00","Marcador Permanente Faber-Castell Vm NMP/VM","Acessorios Escolares","Escolar/escritorio","(blank)"
"30626","4223","Não","S - Venda","34,75","34,75","0,00","DINHEIRO","1,00","Assadeira Marinex Quad 1.8l","Loucas de Servir","Loucas","(blank)"
"30626","16216","Não","S - Venda","22,50","22,50","0,00","DINHEIRO","2,00","Fita Veda Rosca 25m Tigre","Tubos e Conexoes","Hidraulicos","(blank)"
"30627","1915","Não","S - Venda","26,90","26,90","0,00","DINHEIRO","1,00","Cj Canecas 6pcs 250ml Bv0042","Loucas de Mesa","Loucas","(blank)"
"30627","9794657","Não","S - Venda","29,25","29,25","0,00","DINHEIRO","1,00","CJ C/6 Copos 250ml Espiral D01/ Lemon D03 BV0061","Loucas de Mesa","Loucas","(blank)"
"30627","9790918","Não","S - Venda","8,00","8,00","0,00","DINHEIRO","1,00","ELASTICO P/CABELO 4UNI C/PEDRAS D869","Caixas","Caixas","(blank)"
"30627","11386","Não","S - Venda","12,50","12,50","0,00","DINHEIRO","2,00","Prendedor Roupas Baby 12 Pcs","Lavanderia","Lavanderia","(blank)"
"30627","9791339","Não","S - Venda","15,50","15,50","0,00","DINHEIRO","1,00","Caderneta Cd 80Fls Cadernos De Fe","Cadernos","Escolar/escritorio","(blank)"
"30627","318","Não","S - Venda","8,75","8,75","0,00","DINHEIRO","1,00","Cola Escolar Bic 90G","Acessorios Escolares","Escolar/escritorio","(blank)"
"30627","21030","Não","S - Venda","2,50","2,50","0,00","DINHEIRO","10,00","Mini Lixa Unhas Santa Clara Ref 1061 Pt","Caixas","Caixas","(blank)"
"30627","9790633","Não","S - Venda","5,25","5,25","0,00","DINHEIRO","3,00","Filtros para bomba com 2 un","Chimarrao","Utilidades Domesticas","(blank)"
"30627","29642","Não","S - Venda","4,50","4,50","0,00","DINHEIRO","1,00","Washi Tape 1.5cm 2m Dis WPF20050/WPF20029","Acessorios Escolares","Escolar/escritorio","(blank)"
"30627","20940","Não","S - Venda","1,50","1,50","0,00","DINHEIRO","1,00","Apontador Faber-Castell Classico Glitz","Acessorios Escolares","Escolar/escritorio","(blank)"
"30627","16667","Não","S - Venda","26,25","26,25","0,00","DINHEIRO","5,00","Pasta Aba/elast Of Cristal Delloline","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","9845","Não","S - Venda","2,50","2,50","0,00","DINHEIRO","1,00","Caneta Esf Cis Neotip 0.7mm Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","228701","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Caneta Esf Cristal Bic Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","9791418","Não","S - Venda","7,49","7,49","0,00","DINHEIRO","1,00","Lampada Led Br F 15.0w Biv 6500k","Lampadas","Elétrica","(blank)"
"30628","6484","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","2,00","Adesivo Instantaneo 3.5g Vonder","Caixas","Caixas","(blank)"
"30628","9791627","Não","S - Venda","3,99","3,99","0,00","DINHEIRO","1,00","Soquete Fixo E27 4A 250V Pt","Residencial","Elétrica","(blank)"
"30628","11352","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","1,00","Espatula Dia A Dia Menta Cinquetti","Talheres de Servir","Utilidades Domesticas","(blank)"
"30628","30609","Não","S - Venda","8,25","8,25","0,00","DINHEIRO","1,00","Compasso Metal Escolar  Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","30579","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Mina De Grafite 2.0mm 8 Minas","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","30555","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Cola Em Bastao 21g","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","30562","Não","S - Venda","3,50","3,50","0,00","DINHEIRO","1,00","Corretivo Caneta 8ml Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"30628","9793705","Não","S - Venda","11,50","11,50","0,00","DINHEIRO","1,00","Soquete E-27 Rabicho Borracha Isolado","Residencial","Elétrica","(blank)"
"30629","431637","Não","S - Venda","4,50","4,50","0,00","DINHEIRO","1,00","Escovinha Limpa Bomba Forte Inox","Chimarrao","Utilidades Domesticas","(blank)"
"30629","29298","Não","S - Venda","33,75","33,75","0,00","DINHEIRO","3,00","Descanso Panela 17Cm Bambu Wincy","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30629","26571","Não","S - Venda","23,75","23,75","0,00","DINHEIRO","1,00","Cortina Box 180x180cm","Bazar","Bazar","(blank)"
"30629","29871","Não","S - Venda","8,75","8,75","0,00","DINHEIRO","1,00","Tapete Pvc Antiderrapante P/Banheiro","Aces. Liquidif. e Cafet.","Utilidades Domesticas","(blank)"
"30630","11373","Não","S - Venda","4,25","4,25","0,00","CRÉDITO HIPERCARD 1X - REDE CARD","1,00","Mata Mosca Dpg 0044","Caixas","Caixas","(blank)"
"30630","3309","Não","S - Venda","10,75","10,75","0,00","CRÉDITO HIPERCARD 1X - REDE CARD","1,00","Chave Phillips Amarela 1/4x6"" - Tramontina","Ferramentas Manuais","Ferragem","(blank)"
"30630","3445","Não","S - Venda","5,75","5,75","0,00","CRÉDITO HIPERCARD 1X - REDE CARD","1,00","Broca Para Aço 3.5x70mm em Aço Rápido Hss Din 338 - Tramontina","Acessorios de Ferragem","Ferragem","(blank)"
"30630","9793913","Não","S - Venda","13,25","13,25","0,00","DINHEIRO","1,00","Caneca 510ml Chopp Caveira TC20332","Loucas de Mesa","Utilidades Domesticas","(blank)"
"30631","82","Não","S - Venda","15,25","15,25","0,00","DINHEIRO","1,00","Pilha Duracell Alcalina Aa C/2","Caixas","Caixas","(blank)"
"30631","9794642","Não","S - Venda","19,25","19,25","0,00","DINHEIRO","1,00","Ralador Plano 33X12.5/3.8CM BU0011","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30631","9792500","Não","S - Venda","8,00","8,00","0,00","DINHEIRO","1,00","Cad Flex Uniflex Off White 80Fls Basic Art","Cadernos","Escolar/escritorio","(blank)"
"30632","20994","Não","S - Venda","20,75","20,75","0,00","CF COMPRAS 01X","1,00","Caneca 290ml Terramada Super Prof","Loucas de Mesa","Loucas","(blank)"
"30632","24262","Não","S - Venda","37,50","37,50","0,00","DÉBITO - REDE CARD","2,00","Kit Rodizio Giratorio Pt 3.2cm C/4","Acessorios de Ferragem","Ferragem","(blank)"
"30632","9794590","Não","S - Venda","9,75","9,75","0,00","DÉBITO - REDE CARD","1,00","Corretivo Caneta 10ml Metal Gramp Line","Acessorios Escolares","Escolar/escritorio","(blank)"
"30633","9794338","Não","S - Venda","6,50","6,50","0,00","DINHEIRO","1,00","Fita Adesiva Emp 45mmX40m EurocelTransp","Acessorios Escolares","Escolar/escritorio","(blank)"
"30633","9794337","Não","S - Venda","6,50","6,50","0,00","DINHEIRO","1,00","Fita Adesiva Emp 45mmX40m Eurocel Mr","Acessorios Escolares","Escolar/escritorio","(blank)"
"30633","9789374","Não","S - Venda","35,50","35,50","0,00","DÉBITO - BANRISUL","1,00","Super Ludo Unica","Brinquedos","Brinquedos","(blank)"
"30634","20977","Não","S - Venda","25,00","25,00","0,00","DINHEIRO","2,00","Plastico Mesa Semi Termico 140cm Vip","Fracionados","Fracionados","(blank)"
"30634","9790633","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Filtros para bomba com 2 un","Chimarrao","Utilidades Domesticas","(blank)"
"30634","449083","Não","S - Venda","16,88","16,88","0,00","CRÉDITO 1X - REDE CARD","1,50","Plastico Mesa Cristal 0.15mm","Fracionados","Fracionados","(blank)"
"30634","2486","Não","S - Venda","6,25","6,25","0,00","CRÉDITO 1X - REDE CARD","1,00","Esponja Limp Pesada L4p3","Lavanderia","Lavanderia","(blank)"
"30634","15628","Não","S - Venda","13,75","13,75","0,00","CRÉDITO 1X - REDE CARD","1,00","Balde 8.8l Giplas Incolor Bd-88","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30635","9244","Não","S - Venda","4,25","4,25","0,00","CRÉDITO 2X - REDE CARD","1,00","Gelatina Boca 60g Dori","Caixas","Caixas","(blank)"
"30635","9793270","Não","S - Venda","24,90","24,90","0,00","CRÉDITO 2X - REDE CARD","1,00","Livro Dedoche - Abracao De Urso","Livros","Escolar/escritorio","(blank)"
"30635","15200","Não","S - Venda","3,75","3,75","0,00","CRÉDITO 2X - REDE CARD","1,00","Massa Modelar Amido Leoeleo 6 Cores","Acessorios Escolares","Escolar/escritorio","(blank)"
"30635","30538","Não","S - Venda","4,75","4,75","0,00","CRÉDITO 2X - REDE CARD","1,00","Ler E Colorir Disney Sortido B 6 Capas","Livros","Escolar/escritorio","(blank)"
"30635","6741","Não","S - Venda","17,00","17,00","0,00","CRÉDITO 2X - REDE CARD","1,00","Bloco A4 Neon Colore 50f Jandainha","Cadernos","Escolar/escritorio","(blank)"
"30635","6568","Não","S - Venda","11,00","11,00","0,00","DINHEIRO","2,00","Rosa X5 24cm Cores Sort Florarte","Jardim","Jardinagem/flores","(blank)"
"30636","30830","Não","S - Venda","3,75","3,75","0,00","DINHEIRO","5,00","Pitao C/r S/bucha 08mm Zinc","Fixadores","Ferragem","(blank)"
"30636","122672","Não","S - Venda","1,95","1,95","0,00","DINHEIRO","13,00","Bucha Pvc 08","Fixadores","Ferragem","(blank)"
"30636","21030","Não","S - Venda","0,25","0,25","0,00","DINHEIRO","1,00","Mini Lixa Unhas Santa Clara Ref 1061 Pt","Caixas","Caixas","(blank)"
"30636","22070","Não","S - Venda","4,75","4,75","0,00","DÉBITO - REDE CARD","1,00","Veneno Lesmicida 50g Citromax","Quimicos","Ferragem","(blank)"
"30637","11261","Não","S - Venda","3,50","3,50","0,00","DINHEIRO","2,00","Cabide Cinquetti Ad Maior Pt","Lavanderia","Lavanderia","(blank)"
"30637","9792157","Não","S - Venda","16,00","16,00","0,00","DINHEIRO","1,00","Pote 2.7l Retang Pop","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30637","28624","Não","S - Venda","4,00","4,00","0,00","DINHEIRO","1,00","Suporte Pratos Decorativos 13x8.5cm","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30637","9794625","Não","S - Venda","14,25","14,25","0,00","DINHEIRO","1,00","Pote Hermetico Ret. 1100ml BP0054M D01 Rs/ Az","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30637","12352","Não","S - Venda","20,50","20,50","0,00","DINHEIRO","1,00","Cesta One Coza Gd Br","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30637","8374","Não","S - Venda","176,75","176,75","0,00","DINHEIRO","1,00","Tabua Passar Nice","Lavanderia","Lavanderia","(blank)"
"30637","26876","Não","S - Venda","27,00","27,00","0,00","DINHEIRO","1,00","Fatiador Legumes C/06 Laminas Rem 36cm Cm60","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30637","16699","Não","S - Venda","26,25","26,25","0,00","DINHEIRO","5,00","Descascador e Boleador Keita Db02","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"30638","16665","Não","S - Venda","5,25","5,25","0,00","DINHEIRO","1,00","Pasta Aba/elast Of Am Delloline","Acessorios Escolares","Escolar/escritorio","(blank)"
"30638","9788908","Não","S - Venda","0,75","0,75","0,00","DINHEIRO","1,00","Fita Adesiva 12mm 10m Mel","Acessorios de Ferragem","Ferragem","(blank)"
"30639","9794383","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Lamina Arco de Serra Startools","Ferramentas Manuais","Ferragem","(blank)"
"30639","9790636","Não","S - Venda","8,50","8,50","0,00","DINHEIRO","1,00","Lamina Serra Bimetal 24 Dentes NF1224B Nicholson","Acessorios de Ferragem","Ferragem","(blank)"
"30639","37556","Não","S - Venda","6,00","6,00","0,00","DÉBITO - REDE CARD","2,00","Agulha Fogao Reforcada Longa","Peças e Acess. Reposição","Utilidades Domesticas","(blank)"
"30640","9794726","Não","S - Venda","15,25","15,25","0,00","DÉBITO - BANRISUL","1,00","Cj C/3 Copos 300ml Vidro Bolhas","Loucas de Mesa","Loucas","(blank)"
"30640","4232","Não","S - Venda","34,75","34,75","0,00","DÉBITO - BANRISUL","1,00","Assadeira 02l 400ml Marinex Oval","Loucas de Servir","Loucas","(blank)"
"30640","13895","Não","S - Venda","202,75","202,75","0,00","DINHEIRO","1,00","Churrasqueira Grill 30 Prestige","Panelas e Afins","Utilidades Domesticas","(blank)"
"30641","9791967","Não","S - Venda","12,50","12,50","0,00","DINHEIRO","2,00","Fita Adesiva PP Transp 45mm 45m COD220","Acessorios Escolares","Escolar/escritorio","(blank)"
"30641","31229","Não","S - Venda","13,49","13,49","0,00","DINHEIRO","1,00","Porta Detergente Slim Capuccino Plast Pp","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30641","21029","Não","S - Venda","0,75","0,75","0,00","DINHEIRO","1,00","Lixa Especial Unhas Big Canario Santa Clara Ref389","Caixas","Caixas","(blank)"
"30642","29191","Não","S - Venda","8,25","8,25","0,00","DINHEIRO","1,00","Cj Prendedor Papel Win Paper WPC80001","Acessorios Escolares","Escolar/escritorio","(blank)"
"30642","17514","Não","S - Venda","7,25","7,25","0,00","DINHEIRO","1,00","Vaso 4l Red Bella Fiore N22 Pt","Jardim","Jardinagem/flores","(blank)"
"30642","9299","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Semente Beterraba Katrina","Plantas","Jardinagem/flores","(blank)"
"30642","9327","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Semente Pimentao Amarelo","Plantas","Jardinagem/flores","(blank)"
"30642","21030","Não","S - Venda","0,50","0,50","0,00","DINHEIRO","2,00","Mini Lixa Unhas Santa Clara Ref 1061 Pt","Caixas","Caixas","(blank)"
"30643","10360","Não","S - Venda","15,50","15,50","0,00","DÉBITO - BANRISUL","2,00","Pregador Roupa Sanremo Plast SR900/288","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"30643","14604","Não","S - Venda","5,75","5,75","0,00","DINHEIRO","1,00","Lampada Led Tkl 30 / 4.9W 4000K Taschibra","Residencial","Elétrica","(blank)"
"30644","10977","Não","S - Venda","37,25","37,25","0,00","DINHEIRO","1,00","Vaso Nutricoco Completo 02 Unica","Vasos e Cachepos","Jardinagem/flores","(blank)"
"30644","5600","Não","S - Venda","6,50","6,50","0,00","DINHEIRO","1,00","Fita Isolante Tramontina 19mm 10m Pt","Acessorios de Ferragem","Ferragem","(blank)"
"30644","9791336","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Cad 1/8 48Fls Espiralado","Cadernos","Escolar/escritorio","(blank)"
"30644","228695","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Caneta Esf Cristal Bic Az","Acessorios Escolares","Escolar/escritorio","(blank)"
"30644","228701","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Caneta Esf Cristal Bic Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"30645","228695","Não","S - Venda","5,00","5,00","0,00","DINHEIRO","4,00","Caneta Esf Cristal Bic Az","Acessorios Escolares","Escolar/escritorio","(blank)"
"30645","21684","Não","S - Venda","156,00","156,00","0,00","DINHEIRO","1,00","Cacarola 22 Aluminio Fundido Pigment Pt","Panelas e Afins","Utilidades Domesticas","(blank)"
"30645","431637","Não","S - Venda","4,50","4,50","0,00","DINHEIRO","1,00","Escovinha Limpa Bomba Forte Inox","Chimarrao","Utilidades Domesticas","(blank)"
"30646","20977","Não","S - Venda","25,00","25,00","0,00","DINHEIRO","2,00","Plastico Mesa Semi Termico 140cm Vip","Fracionados","Fracionados","(blank)"
"30646","6381","Não","S - Venda","7,50","7,50","0,00","DINHEIRO","30,00","Fio Sisal Oleado F-300/1  Vonder","Fracionados","Fracionados","(blank)"
"30646","3133","Não","S - Venda","53,75","53,75","0,00","DINHEIRO","1,00","Tesoura Costura Tramontina Supercort Onix 8","Acessorios Escolares","Escolar/escritorio","(blank)"
"30646","22754","Não","S - Venda","13,99","13,99","0,00","DINHEIRO","1,00","Almofada Personalizada S/ Ziper Damaia","Bazar","Bazar","(blank)"
"30646","9791435","Não","S - Venda","11,97","11,97","0,00","DINHEIRO","3,00","Descanso Panela Bambu","Brinquedos","Brinquedos","(blank)"
"30647","9792411","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","1,00","Cola Bastao 40g Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"30647","9791435","Não","S - Venda","11,97","11,97","0,00","DINHEIRO","3,00","Descanso Panela Bambu","Brinquedos","Brinquedos","(blank)"
"30647","19958","Não","S - Venda","14,75","14,75","0,00","DINHEIRO","1,00","Tapete Box 38x69cm P DTA0204","Acessorios de Banheiro","Hidraulicos","(blank)"
"30648","17373","Não","S - Venda","5,25","5,25","0,00","DINHEIRO","1,00","Conector Porcelana Bipolar 10mm 1Pc Foxlux","Residencial","Elétrica","(blank)"
"30648","9793089","Não","S - Venda","15,00","15,00","0,00","CF COMPRAS 03X","20,00","Corda Pe Tranc 4mm Azul Pesca","Fracionados","Fracionados","(blank)"
"30648","14103","Não","S - Venda","13,75","13,75","0,00","CF COMPRAS 03X","1,00","Pano Copa 44x65cm Buongusto Stile Sortido","Bazar","Bazar","(blank)"
"30648","16053","Não","S - Venda","3,00","3,00","0,00","CF COMPRAS 03X","1,00","Cola Branca Maxi Cola 90g","Acessorios Escolares","Escolar/escritorio","(blank)"
"30648","22204","Não","S - Venda","34,25","34,25","0,00","CF COMPRAS 03X","1,00","Assadeira N04 Ret Baixa 3.8l","Panelas e Afins","Utilidades Domesticas","(blank)"
"30648","4344","Não","S - Venda","11,25","11,25","0,00","CF COMPRAS 03X","3,00","Copo Plast 180ml C/50 Br","Festas","Festas","(blank)"
"30649","28232","Não","S - Venda","67,50","67,50","0,00","DÉBITO - BANRISUL","1,00","Cupula 10X30X16 Tec Linho Claro","Decoracao e Luminarias","Elétrica","(blank)"
"30649","16059","Não","S - Venda","4,00","4,00","0,00","DINHEIRO","2,00","Cola Bastao 09g","Acessorios Escolares","Escolar/escritorio","(blank)"
"30649","432634","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","2,00","Kit Alfinete Costura 40pcs","Caixas","Caixas","(blank)"
"30649","294225","Não","S - Venda","0,50","0,50","0,00","DINHEIRO","1,00","Laco Facil Pq","Enfeites Natalinos","Natal","(blank)"
"30649","9793838","Não","S - Venda","11,75","11,75","0,00","DINHEIRO","1,00","Cad 1/4 Cd 80Fls Brochura Disney Emoji","Cadernos","Escolar/escritorio","(blank)"
"30650","2669","Não","S - Venda","42,92","42,92","0,00","DINHEIRO","4,00","Garfo Mesa Tramontina Dynamic Cb Mad","Talheres de Mesa","Utilidades Domesticas","(blank)"
"30650","2668","Não","S - Venda","35,00","35,00","0,00","DINHEIRO","4,00","Faca Churrasco Tramontina Dynamic Cb Mad","Talheres de Mesa","Utilidades Domesticas","(blank)"
"30650","15256","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Caneta Esf My-Tech 0.7mm Az","Acessorios Escolares","Escolar/escritorio","(blank)"
"30650","8792","Não","S - Venda","6,75","6,75","0,00","DINHEIRO","3,00","Raticida Jimo","Quimicos","Ferragem","(blank)"
"30651","14721","Não","S - Venda","4,90","4,90","0,00","DÉBITO - REDE CARD","1,00","Cj Inflar 5 Pecas Western","Brinquedos","Brinquedos","(blank)"
"30651","19793","Não","S - Venda","22,25","22,25","0,00","DÉBITO - REDE CARD","1,00","Tinta Spray 350ml Ug Branco Fosco Tekbond","Quimicos","Ferragem","(blank)"
"30651","447751","Não","S - Venda","1,20","1,20","0,00","DINHEIRO","6,00","Parafuso Madeira 3.5x25 Chata Chipboard Mister","Fixadores","Ferragem","(blank)"
"30651","122658","Não","S - Venda","0,60","0,60","0,00","DINHEIRO","6,00","Bucha Pvc 05","Fixadores","Ferragem","(blank)"
"30651","122665","Não","S - Venda","0,60","0,60","0,00","DINHEIRO","6,00","Bucha Pvc 06","Fixadores","Ferragem","(blank)"
"30651","9794390","Não","S - Venda","9,50","9,50","0,00","DINHEIRO","2,00","Suporte Prateleira 8X10cm Ferro 0.7mm Startools","Acessorios de Ferragem","Ferragem","(blank)"
"30651","9792974","Não","S - Venda","44,00","44,00","0,00","DINHEIRO","1,00","Estojo Wteen Nylon Amas","Mochilas","Escolar/escritorio","(blank)"
"30651","29075","Não","S - Venda","4,25","4,25","0,00","DINHEIRO","1,00","Pinca Sobrancelha 9cm Inox","Caixas","Caixas","(blank)"
"30651","4887","Não","S - Venda","8,75","8,75","0,00","DINHEIRO","1,00","Esferografica Xtreme 1.0 Verm","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","30605","Não","S - Venda","6,75","6,75","0,00","DINHEIRO","1,00","Cj Geometrico 1 Grau 4 Pcs  Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","9789524","Não","S - Venda","5,75","5,75","0,00","DINHEIRO","1,00","Caneta Marca Texto Cis Lumini Metallic Rs","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","9792425","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Lapiseira 0.7mm Grip","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","1373","Não","S - Venda","2,00","2,00","0,00","DINHEIRO","1,00","Caneta Esf Trilux P.Media Colors Vd Claro","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","1369","Não","S - Venda","2,00","2,00","0,00","DINHEIRO","1,00","Caneta Esf Trilux P.Media Colors Lj","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","9792796","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Caneta Marca Texto  Jocar Office Slim Metalico","Acessorios Escolares","Escolar/escritorio","(blank)"
"30651","9823","Não","S - Venda","5,75","5,75","0,00","DINHEIRO","1,00","Tesoura Escolar C/Escala Pt Ks-96Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"30652","9401","Não","S - Venda","7,75","7,75","0,00","CRÉDITO 1X - REDE CARD","1,00","Pilha Panasonic Comum Pq Aa C/4","Caixas","Caixas","(blank)"
"30652","10746","Não","S - Venda","21,50","21,50","0,00","CRÉDITO 1X - REDE CARD","1,00","Cortina Box Vinil Visor Ret Estamp Tropical 620-U","Acessorios de Banheiro","Hidraulicos","(blank)"
"30652","5440","Não","S - Venda","11,25","11,25","0,00","DÉBITO - REDE CARD","1,00","Trincha Tigre Media 3 695 Cerda Gris","Pintura","Ferragem","(blank)"
"30652","423175","Não","S - Venda","1,00","1,00","0,00","DÉBITO - REDE CARD","2,00","Bola Isopor 25mm","Acessorios Escolares","Escolar/escritorio","(blank)"
"30652","9793382","Não","S - Venda","3,50","3,50","0,00","DÉBITO - REDE CARD","2,00","Bola Isopor 40mm","Acessorios Escolares","Escolar/escritorio","(blank)"
"30652","423137","Não","S - Venda","0,25","0,25","0,00","DÉBITO - REDE CARD","1,00","Bola Isopor 15mm","Acessorios Escolares","Escolar/escritorio","(blank)"
"30653","9791117","Não","S - Venda","8,75","8,75","0,00","DINHEIRO","1,00","TORNEIRA FILT MAN BR-BR 1107 5/8 IND","Pecas Frias","Hidraulicos","(blank)"
"30653","24306","Não","S - Venda","62,25","62,25","0,00","DÉBITO - BANRISUL","1,00","Kit Rodizio Giratorio Transp 3.8cm C/4","Acessorios de Ferragem","Ferragem","(blank)"
"30653","21957","Não","S - Venda","56,25","56,25","0,00","DÉBITO - BANRISUL","1,00","Grelha Peixe Cb Mad Cromado 1-104","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"30653","2093","Não","S - Venda","4,00","4,00","0,00","DÉBITO - BANRISUL","1,00","Linha Corrente Drima  05911","Caixas","Caixas","(blank)"
"30653","432634","Não","S - Venda","3,00","3,00","0,00","DÉBITO - BANRISUL","2,00","Kit Alfinete Costura 40pcs","Caixas","Caixas","(blank)"
"30654","2814","Não","S - Venda","36,25","36,25","0,00","DINHEIRO","5,00","Faca Mesa Tramontina Buzios Inox","Talheres de Mesa","Utilidades Domesticas","(blank)"
"30654","2816","Não","S - Venda","20,00","20,00","0,00","DINHEIRO","5,00","Colher Sobremesa Tramontina Buzios Inox","Talheres de Mesa","Utilidades Domesticas","(blank)"
"30654","2908","Não","S - Venda","9,00","9,00","0,00","DINHEIRO","4,00","Colher Cha Tramontina Leme Pt","Talheres de Mesa","Utilidades Domesticas","(blank)"
"30654","3733","Não","S - Venda","12,00","12,00","0,00","DINHEIRO","3,00","Colher Cafe Tramontina Laguna Inox","Talheres de Mesa","Utilidades Domesticas","(blank)"
"30654","9793015","Não","S - Venda","16,75","16,75","0,00","DINHEIRO","1,00","Extensao 3m Pl 2p 0.75mm 220v Br Megatron","Residencial","Elétrica","(blank)"
"30655","277266","Não","S - Venda","21,00","21,00","0,00","DINHEIRO","12,00","Tampa Vidro Conserva Br/Pt Simp Br-1 74","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"30655","9794852","Não","S - Venda","6,00","6,00","0,00","DINHEIRO","1,00","TAMPA VIDRO CONSERVA BR1-113 B","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"30655","20977","Não","S - Venda","17,50","17,50","0,00","DINHEIRO","1,40","Plastico Mesa Semi Termico 140cm Vip","Fracionados","Fracionados","(blank)"
"30656","6538","Não","S - Venda","35,50","35,50","0,00","DINHEIRO","2,00","Hortensia 33cm Creme Florarte","Jardim","Jardinagem/flores","(blank)"
"30656","6616","Não","S - Venda","39,00","39,00","0,00","DINHEIRO","1,00","Eucalipto X72 50cm Verde Outono Florarte","Jardim","Jardinagem/flores","(blank)"
"30656","6537","Não","S - Venda","19,50","19,50","0,00","DINHEIRO","1,00","Rosa Mini X20 29cm Marsala Outono Creme Florarte","Jardim","Jardinagem/flores","(blank)"
"30656","18142","Não","S - Venda","12,50","12,50","0,00","DINHEIRO","1,00","Tinta Da Alegria Roll On Vd","Caixas","Caixas","(blank)"
"30656","18145","Não","S - Venda","12,50","12,50","0,00","DINHEIRO","1,00","Tinta Da Alegria Roll On Pt","Caixas","Caixas","(blank)"
